Date,egg_price,egg_production,egg_shipment,egg_recipt,chick_count,farmer_price,wholesale_price,retail_price,household_consumption_per_man,egg_import,chick_feed_shipment,chicken_feed_shipment,feed_price
2008/4,193,211272,204577,9050,8652,186,193,331,862,10411,63,483,66
2008/5,195,217722,211022,8666,9172,194,195,333,853,10064,64,490,66
2008/6,185,208280,201929,9039,8675,183,185,327,859,8517,63,472,66
2008/7,193,211544,204900,9376,8389,189,193,330,781,9170,57,443,68
2008/8,196,208428,201840,8700,7373,191,196,339,788,9272,55,432,69
2008/9,216,209373,202774,9269,9284,210,216,358,807,11590,58,477,69
2008/10,211,216324,209581,9464,8424,207,211,369,841,8905,59,477,72
2008/11,205,209506,203179,8222,8074,204,205,360,859,10551,56,459,72
2008/12,207,221763,215208,8424,8186,173,207,357,905,8799,70,524,71
2009/1,149,207882,201608,9804,9206,142,149,300,748,9582,63,480,59
2009/2,186,195934,189836,8308,7750,173,186,330,790,9655,58,456,59
2009/3,180,213705,207334,9305,9443,172,180,337,854,5682,63,486,59
2009/4,173,206844,200525,9004,8835,166,173,325,837,9388,67,496,56
2009/5,167,212156,205649,8218,8631,165,167,321,856,7535,62,466,56
2009/6,160,208252,201958,9336,9011,155,160,312,842,9700,65,482,56
2009/7,154,207790,201358,9250,8409,151,154,306,841,8965,59,444,60
2009/8,157,206797,200198,8963,6809,149,157,307,808,6713,56,439,60
2009/9,188,205972,199312,8546,9576,178,188,333,810,7768,56,449,60
2009/10,184,212397,205689,8963,8179,180,184,340,887,7648,61,486,57
2009/11,188,208208,202049,8713,7970,175,188,334,855,8411,58,466,57
2009/12,209,219340,212856,7915,8634,197,209,348,881,9542,70,523,57
2010/1,151,205548,199743,9100,8375,142,151,303,822,9058,61,457,57
2010/2,194,196408,190789,8170,7509,182,194,327,790,8173,57,454,57
2010/3,177,217257,211124,9492,9809,172,177,319,886,7914,68,510,57
2010/4,177,210381,204296,8868,8863,169,177,315,829,9855,69,502,56
2010/5,178,215088,208911,8102,8282,174,178,321,826,9651,63,470,56
2010/6,183,208255,202117,8917,8862,176,183,318,837,10308,61,460,56
2010/7,177,209215,203019,8795,8059,175,177,328,801,10765,57,447,56
2010/8,166,206071,199803,9136,7898,160,166,318,765,10755,54,426,56
2010/9,193,205415,199378,8651,9041,190,193,333,806,9992,54,438,56
2010/10,197,212471,206110,8058,7945,193,197,340,865,8096,57,462,56
2010/11,206,209639,203568,8895,8919,197,206,340,844,8794,60,484,56
2010/12,240,219575,213426,7714,8267,232,240,367,904,9411,71,534,56
2011/1,184,207802,201685,9198,8153,182,184,337,824,9953,59,455,59
2011/2,203,194113,188336,7898,7614,207,203,342,802,9238,59,452,59
2011/3,217,207765,201285,4671,9039,200,217,346,851,7183,65,501,59
2011/4,245,204098,197637,7739,8447,232,245,396,819,11782,61,479,61
2011/5,213,213342,206748,8385,8940,211,213,376,858,13025,58,458,61
2011/6,190,206905,200548,8636,8479,185,190,334,833,13429,59,464,61
2011/7,170,203850,197499,8158,7719,171,170,328,812,10391,54,416,63
2011/8,167,206039,199702,9036,7383,166,167,316,810,13605,57,454,63
2011/9,183,202915,196890,8347,8858,178,183,324,806,11330,56,449,63
2011/10,186,209964,203740,8343,8066,180,186,330,868,11874,57,458,63
2011/11,194,207845,202027,8351,8555,188,194,327,841,12153,59,470,62
2011/12,195,217990,212185,7427,8164,191,195,333,859,8525,69,510,63
2012/1,149,205811,199789,8713,7965,138,149,303,779,12025,62,461,60
